doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,commented_post,sponsored,target,condition,sequence
1,17.12.2025 11:35:00,"Inspired by #Solmira’s longtime passion for automotive design, artisans transform a rider’s jacket with shearling and hand-buffed leather.",https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_ozz9lbozz9lbozz9.png,,20320,55,65,Solmira,solmira,Crafting timeless luxury since 1972,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/SOLMIRA.png,2540000,0,0,,luxcan,2
2,16.09.2025 14:20:00,Signature allure. Discover the Solmira Fall/Winter 2025-26 Men's and Women's Collections online via link in bio and at boutiques worldwide.,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_vsr4ugvsr4ugvsr4.png,,39464,47,58,Solmira,solmira,Crafting timeless luxury since 1972,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/SOLMIRA.png,2540000,0,0,,luxcan,4
3,10.03.2026 09:25:00,"Solmira introduces a new season. A masterful dialogue of textures, contrasts, and contemporary refinement.",https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_j4y2f9j4y2f9j4y2.png,,42832,57,72,Solmira,solmira,Crafting timeless luxury since 1972,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/SOLMIRA.png,2540000,0,0,,luxcan,1
4,18.11.2025 13:54:00,"A collection drawn from timeless landscapes. For Solmira, artisans craft supple Italian leather into pieces that are rugged yet refined, like our archival flight jacket.",https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_uonhy4uonhy4uonh.png,,27624,39,66,Solmira,solmira,Crafting timeless luxury since 1972,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/SOLMIRA.png,2540000,0,0,,luxcan,3
5,29.08.2025 15:46:00,"Requiring 60 hours of handwork, the #SolmiraCollection Vaughn jumpsuit debuts for Fall 2025: The Modern Romantics.
The process begins with artisans carefully selecting and cutting soft brown leather. To distress the piece, an abstract, high-low effect is manually applied.",https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_1f2ebk1f2ebk1f2e%20(1).png,,32190,41,79,Solmira,solmira,Crafting timeless luxury since 1973,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/SOLMIRA.png,2540000,0,0,,luxcan,5
6,13.12.2025 08:43:00,Solmira basics that just work. Who's with me? #SolmiraStyle ,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_7dv8pu7dv8pu7dv8.png,,29340,32,86,Solmira,solmira,Craft your own story.,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png,2540000,0,0,,ffcan,4
7,24.09.2025 11:17:00,Transitional knits meet the perfect jeans.,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_b9qm4cb9qm4cb9qm.png,,25946,26,52,Solmira,solmira,Craft your own story.,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png,2540000,0,0,,ffcan,2
8,26.10.2025 10:00:00,"This January, statement knits take center stage.",https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_kyijfpkyijfpkyij.png,,20279,37,60,Solmira,solmira,Craft your own story.,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png,2540000,0,0,,ffcan,1
9,29.08.2025 15:46:00,"The season's warmth, woven in. #SolmiraWoman",https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_jr7ykkjr7ykkjr7y.png,,32893,36,71,Solmira,solmira,Craft your own story.,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png,2540000,0,0,,ffcan,5
10,10.09.2025 13:33:00,Solmira staples that feel just right. What's your favorite denim moment?,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Gemini_Generated_Image_ylf20sylf20sylf2.png,,29857,45,87,Solmira,solmira,Craft your own story.,https://raw.githubusercontent.com/caglademirtas/Dice-Experiment-Stimuli/refs/heads/main/Screenshot%202026-03-30%20at%2018.29.52.png,2540000,0,0,,ffcan,3
